City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,7.97,41,1,1.79,US,1684373401
1,xinji,37.9028,115.2036,24.53,39,0,3.19,CN,1684373841
2,playa del ingles,27.7567,-15.5787,19.86,73,1,4.96,ES,1684373673
3,waitangi,-43.9535,-176.5597,15.46,92,100,1.79,NZ,1684373544
4,port-aux-francais,-49.35,70.2167,8.07,98,100,14.38,TF,1684373842
5,nagqu,31.5,92.0,3.96,52,100,2.61,CN,1684373842
6,grytviken,-54.2811,-36.5092,2.44,71,94,5.25,GS,1684373842
7,west island,-12.1568,96.8225,26.99,69,40,6.17,CC,1684373553
8,talnakh,69.4865,88.3972,-2.66,90,100,3.8,RU,1684373563
9,adamstown,-25.066,-130.1015,23.44,77,0,2.4,PN,1684373843
10,port elizabeth,-33.918,25.5701,15.16,97,100,2.57,ZA,1684373843
11,klyuchi,52.2667,79.1667,7.65,41,28,6.89,RU,1684373843
12,sinabang,2.4803,96.3801,28.41,76,76,1.16,ID,1684373843
13,kingston,17.997,-76.7936,28.53,85,20,5.66,JM,1684373547
14,acarau,-2.8856,-40.12,25.9,88,100,4.41,BR,1684373844
15,tsiroanomandidy,-18.7667,46.0333,14.79,86,3,0.9,MG,1684373844
16,thompson,55.7435,-97.8558,0.09,100,100,6.17,CA,1684373844
17,edinburgh of the seven seas,-37.0676,-12.3116,17.57,93,100,8.63,SH,1684373844
18,whakatane,-37.9585,176.9854,17.51,77,100,1.79,NZ,1684373844
19,green river,41.5286,-109.4662,19.55,47,78,4.9,US,1684373420
20,vorgashor,67.5833,63.95,2.72,93,100,4.74,RU,1684373561
21,sitka,57.0531,-135.33,15.94,59,0,3.6,US,1684373845
22,st. john's,47.5649,-52.7093,12.6,92,100,9.77,CA,1684373432
23,bedugul,-8.2847,115.1606,18.4,58,55,0.04,ID,1684373845
24,ribeira grande,38.5167,-28.7,17.65,89,68,1.79,PT,1684373845
25,stanley,54.868,-1.6985,9.88,86,0,1.54,GB,1684373845
26,wailua homesteads,22.0669,-159.378,26.24,78,75,6.17,US,1684373604
27,colonia,50.9333,6.95,8.31,75,0,1.54,DE,1684373719
28,blackmans bay,-43.0167,147.3167,10.96,70,74,3.5,AU,1684373846
29,okha,53.5739,142.9478,5.3,86,88,3.9,RU,1684373846
30,iqaluit,63.7506,-68.5145,-2.15,74,100,1.03,CA,1684373847
31,retreat,38.8245,-85.8533,18.22,75,0,3.79,US,1684373847
32,chibougamau,49.9168,-74.3659,-2.21,64,100,4.63,CA,1684373847
33,itoman,26.1247,127.6694,25.43,94,75,13.89,JP,1684373847
34,nadi,-17.8,177.4167,30.0,70,20,5.14,FJ,1684373574
35,yellowknife,62.456,-114.3525,14.29,44,0,6.17,CA,1684373847
36,enewetak,11.3474,162.3373,27.79,74,100,6.94,MH,1684373847
37,lyskovo,56.0328,45.0422,14.44,67,100,1.12,RU,1684373848
38,guanica,17.9716,-66.908,26.08,58,94,2.43,PR,1684373848
39,kitimat,54.0524,-128.6534,30.21,39,6,2.24,CA,1684373848
40,lincoln,40.8,-96.667,24.95,39,0,4.12,US,1684373388
41,ust-nera,64.5667,143.2,5.54,84,99,2.08,RU,1684373848
42,prince rupert,54.3161,-130.3201,20.05,64,0,2.06,CA,1684373849
